title,director,country,spine,url,img,year
Eclipse Series 26: Silent Naruse,,,,https://www.criterion.com/boxsets/789-eclipse-series-26-silent-naruse,https://s3.amazonaws.com/criterion-production/product_images/1802-0b6ef2ca0e60aa1698b7a2fc348d7d5c/Wdi6a0lzldizjlpRV2l8C5AxMUbnt9_small.jpg,
Eclipse Series 27: Raffaello Matarazzo’s Runaway Melodramas,,,,https://www.criterion.com/boxsets/808-eclipse-series-27-raffaello-matarazzo-s-runaway-melodramas,https://s3.amazonaws.com/criterion-production/product_images/1803-6a8b76d7af61cbee31aced4a8191a85a/zKIrZpwHhlb5ETRsoB0UujdI9OwYFz_small.jpg,
Eclipse Series 28: The Warped World of Koreyoshi Kurahara,,,,https://www.criterion.com/boxsets/825-eclipse-series-28-the-warped-world-of-koreyoshi-kurahara,https://s3.amazonaws.com/criterion-production/product_images/1804-3b365ed8a371dd7ded188b82e266b0f3/CiBwv4N3cPUrqarlehkwcVocN6NcqV_small.jpg,
Eclipse Series 29: Aki Kaurismäki’s Leningrad Cowboys,,,,https://www.criterion.com/boxsets/835-eclipse-series-29-aki-kaurism-ki-s-leningrad-cowboys,https://s3.amazonaws.com/criterion-production/product_images/1805-20ea90ca5dd4192605c8592660180de0/mD3Hcvh7QvvNLghVU3Ba1T74LZ4YRB_small.jpg,
Eclipse Series 2: The Documentaries of Louis Malle,,,,https://www.criterion.com/boxsets/275-eclipse-series-2-the-documentaries-of-louis-malle,https://s3.amazonaws.com/criterion-production/product_images/1778-b9b79b1b4fb9fe3ac2fe668420267eec/2kV3166j2XTHS3wGEDCK4JeCRXqzM8_small.jpg,
Eclipse Series 30: Sabu!,,,,https://www.criterion.com/boxsets/847-eclipse-series-30-sabu,https://s3.amazonaws.com/criterion-production/product_images/1806-35b06113390d41a36d70ffe8de10aa12/eLhsC5N4a1JC3PhUkaT0Im806G2oqL_small.jpg,
Eclipse Series 31: Three Popular Films by Jean-Pierre Gorin,,,,https://www.criterion.com/boxsets/855-eclipse-series-31-three-popular-films-by-jean-pierre-gorin,https://s3.amazonaws.com/criterion-production/product_images/1807-e9ce4851ff3adf87a31f37a65e9db390/FCDO0zQT8T0oT5QPB7tUs8IP0DvEqR_small.jpg,
Eclipse Series 32: Pearls of the Czech New Wave,,,,https://www.criterion.com/boxsets/870-eclipse-series-32-pearls-of-the-czech-new-wave,https://s3.amazonaws.com/criterion-production/product_images/1808-2d46a12c7b3bb2aca94ace66d3c9c0e9/nyO6RFFEuME4UWTQK8qfR39YzD6NJK_small.jpg,
Eclipse Series 33: Up All Night with Robert Downey Sr.,,,,https://www.criterion.com/boxsets/887-eclipse-series-33-up-all-night-with-robert-downey-sr,https://s3.amazonaws.com/criterion-production/product_images/1809-a4a8b84c4cbcababe9073629fd726b50/S4JbdHupEZur0VszttgXmG8hjRdrG2_small.jpg,
Eclipse Series 34: Jean Grémillon During the Occupation,,,,https://www.criterion.com/boxsets/897-eclipse-series-34-jean-gr-millon-during-the-occupation,https://s3.amazonaws.com/criterion-production/product_images/1810-937c264a8f71a4e7b7e56fd9bb1f6573/RH8phccQiFbDuedTfBmuDM9ZgEXY4E_small.jpg,
Eclipse Series 35: Maidstone and Other Films by Norman Mailer,,,,https://www.criterion.com/boxsets/907-eclipse-series-35-i-maidstone-i-and-other-films-by-norman-mailer,https://s3.amazonaws.com/criterion-production/product_images/1811-266c43d8e78bfa5f6efd201d3afa048d/V4k8sacHUW9LbGxtOeFlX5FTAbo2xm_small.jpg,
Eclipse Series 36: Three Wicked Melodramas from Gainsborough Pictures,,,,https://www.criterion.com/boxsets/921-eclipse-series-36-three-wicked-melodramas-from-gainsborough-pictures,https://s3.amazonaws.com/criterion-production/product_images/1812-2bdeb818c107e95738f59894990c22b2/oTM1jWGYaWx6KHPFFGsXiyVmbdpCPi_small.jpg,
Eclipse Series 37: When Horror Came to Shochiku,,,,https://www.criterion.com/boxsets/928-eclipse-series-37-when-horror-came-to-shochiku,https://s3.amazonaws.com/criterion-production/product_images/1813-bbad4cf69cd059690e647db4fe5b90ac/WRupYeFTB10w4zXfxXkrefEOTHORrV_small.jpg,
Eclipse Series 38: Masaki Kobayashi Against the System,,,,https://www.criterion.com/boxsets/952-eclipse-series-38-masaki-kobayashi-against-the-system,https://s3.amazonaws.com/criterion-production/product_images/1814-05188e469cca693826bdbdf3dd57b830/gioARS3RJOP8G5KK2fAlRDi3WlRWcD_small.jpg,
Eclipse Series 39: Early Fassbinder,,,,https://www.criterion.com/boxsets/978-eclipse-series-39-early-fassbinder,https://s3.amazonaws.com/criterion-production/product_images/1817-57c639fbafa87b5528a76204c26df5eb/86C4RQBGs9NJhKzpS4dwyQmFh97Hlc_small.jpg,
Eclipse Series 3: Late Ozu,,,,https://www.criterion.com/boxsets/427-eclipse-series-3-late-ozu,https://s3.amazonaws.com/criterion-production/product_images/1779-889dd689f449e84385c45e50a557fdd3/qBw2xZtx2JP3mRP1gv7mAldOH5cnde_small.jpg,
Eclipse Series 40: Late Ray,,,,https://www.criterion.com/boxsets/1027-eclipse-series-40-late-ray,https://s3.amazonaws.com/criterion-production/product_images/1818-57f2683ad753b4df8aafb5da6eee61e7/VEiipjsBdIMVPkUdotv71PcBz8sezL_small.jpg,
Eclipse Series 41: Kinoshita and World War II,,,,https://www.criterion.com/boxsets/1083-eclipse-series-41-kinoshita-and-world-war-ii,https://s3.amazonaws.com/criterion-production/product_images/1815-4c54bbaa4dc9530bda86c4fba61b3029/syylWOeqXHzqvrpqkVrVaDv4fkH8FT_small.jpg,
Eclipse Series 42: Silent Ozu—Three Crime Dramas,,,,https://www.criterion.com/boxsets/1104-eclipse-series-42-silent-ozu-three-crime-dramas,https://s3.amazonaws.com/criterion-production/product_images/1821-1d8a377b46c39995d71ea06d318e9b19/wkLCY8V8NJKgnJeo5gF42jyI5Ig5DO_small.jpg,
Eclipse Series 43: Agnès Varda in California,,,,https://www.criterion.com/boxsets/1124-eclipse-series-43-agn-s-varda-in-california,https://s3.amazonaws.com/criterion-production/product_images/1819-4413ef01753e6dde384735a128d09135/xXcyDchamgm9aCNPyFno67BZkiFvKv_small.jpg,
Eclipse Series 44: Julien Duvivier in the Thirties,,,,https://www.criterion.com/boxsets/1136-eclipse-series-44-julien-duvivier-in-the-thirties,https://s3.amazonaws.com/criterion-production/product_images/1820-cad13dad3a97c22bebc2a9ca06d4d892/6VtWN3nFdPeeB727qUGqGdgJwQ3sJo_small.jpg,
Eclipse Series 45: Claude Autant-Lara—Four Romantic Escapes from Occupied France,,,,https://www.criterion.com/boxsets/1295-eclipse-series-45-claude-autant-lara-four-romantic-escapes-from-occupied-france,https://s3.amazonaws.com/criterion-production/product_images/1816-e188e2102b63387dbe23fc67edb6beea/DWwbQG5RL4lfG3HYvO9uUZ78amems4_small.jpg,
Eclipse Series 46: Ingrid Bergman’s Swedish Years,,,,https://www.criterion.com/boxsets/1315-eclipse-series-46-ingrid-bergman-s-swedish-years,https://s3.amazonaws.com/criterion-production/product_images/1915-d024b93e4429f5b05d7f0bdc8d59c415/shXfQUMZTWnY6hrjrAHIhcBlosHu4c_small.jpg,
